,title,price,link,parts
52,intake manifold for small block chevy,75,https://charlottesville.craigslist.org/pts/d/somerset-intake-manifold-for-small/7875654355.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
53,"""geo"" motor for parts",150,https://charlottesville.craigslist.org/pts/d/montpelier-station-geo-motor-for-parts/7884750677.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
54,02-08 dodge ram short bed,1300,https://charlottesville.craigslist.org/pts/d/concord-dodge-ram-short-bed/7868834759.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
55,'02-'09 gmc envoy passenger side fender,100,https://charlottesville.craigslist.org/pts/d/keswick-gmc-envoy-passenger-side-fender/7858695938.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
56,ford rv disc break rear end,295,https://charlottesville.craigslist.org/pts/d/somerset-ford-rv-disc-break-rear-end/7872041195.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
57,"""ford"" 7.5 ltr. 460 c.i. engine",900,https://charlottesville.craigslist.org/pts/d/somerset-ford-75-ltr-460-ci-engine/7873061034.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
58,"""kohler"" rv gas generator",65,https://charlottesville.craigslist.org/pts/d/somerset-kohler-rv-gas-generator/7873059495.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
59,rv propane tank,125,https://charlottesville.craigslist.org/pts/d/somerset-rv-propane-tank/7872552250.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
60,rv over the cab bed ladder,20,https://charlottesville.craigslist.org/pts/d/somerset-rv-over-the-cab-bed-ladder/7873463166.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
61,20 ft. jumper cables nib 4 gauge heavy duty / make offer,45,https://charlottesville.craigslist.org/pts/d/dillwyn-20-ft-jumper-cables-nib-gauge/7883016367.html,"['lens', 'tripod', 'flash', 'filter', 'adapter', 'mount', 'battery', 'charger', 'case', 'bag', 'remote', 'light', 'lighting', 'stand', 'gimbal', 'slider', 'monitor', 'microphone', 'cable', 'cord', 'memory', 'sd', 'cf', 'shutter', 'body', 'grip']"
